Date;Time;TZ;Speed Current[rpm];Speed Objective[rpm];System Temperature[°C];Frequency[Hz];Date;Time;TZ;FERM Temp Current[°C];FERM Temp Objective[°C];BATH Temp[°C];BATH Temp Objective[°C];Pump Step;Date;Time;TZ;FERM pH Current[no dim.];Ferm pH Objective[no dim.];ACID Volume[mL];BASE Volume[mL]
2018-11-28;04:16:00:105516;-03:00;404.04;400;0.0;20.42123;2018-11-28;04:15:38:860339;-03:00;41.6;42;42.15;44.05;5;2018-11-28;04:15:15:692360;-03:00;6.7619999999999996;6.7999999999999998;0.0;0.0
2018-11-28;04:16:10:123544;-03:00;401.34;400;0.0;20.39825;2018-11-28;04:15:39:650333;-03:00;41.6;42;42.15;44.05;5;2018-11-28;04:15:24:309942;-03:00;6.7629999999999999;6.7999999999999998;0.0;0.0
2018-11-28;04:16:20:048831;-03:00;401.34;400;0.0;20.39028;2018-11-28;04:15:45:902877;-03:00;41.6;42;42.31;44.05;5;2018-11-28;04:15:35:926333;-03:00;6.7690000000000001;6.7999999999999998;0.0;0.0
2018-11-28;04:16:30:117396;-03:00;401.07;400;0.0;20.38188;2018-11-28;04:15:58:019420;-03:00;41.6;42;42.67;44.05;5;2018-11-28;04:15:45:543942;-03:00;6.758;6.7999999999999998;0.0;0.0
2018-11-28;04:16:40:042531;-03:00;401.07;400;0.0;20.37388;2018-11-28;04:16:05:268128;-03:00;41.6;42;42.81;44.05;5;2018-11-28;04:15:54:165300;-03:00;6.7670000000000003;6.7999999999999998;0.0;0.0
2018-11-28;04:16:50:115180;-03:00;401.34;400;0.0;20.36563;2018-11-28;04:16:15:418674;-03:00;41.7;42;43.01;44.05;5;2018-11-28;04:16:05:874494;-03:00;6.7619999999999996;6.7999999999999998;0.0;0.0
2018-11-28;04:17:00:041080;-03:00;401.07;400;0.0;20.35825;2018-11-28;04:16:26:260601;-03:00;41.8;42;43.29;44.05;5;2018-11-28;04:16:14:492130;-03:00;6.7599999999999998;6.7999999999999998;0.0;0.0
2018-11-28;04:17:10:117196;-03:00;401.34;400;0.0;20.35026;2018-11-28;04:16:35:593595;-03:00;41.8;42;43.56;44.05;5;2018-11-28;04:16:24:110028;-03:00;6.7539999999999996;6.7999999999999998;0.0;0.0
2018-11-28;04:17:20:046614;-03:00;401.07;400;0.0;20.34326;2018-11-28;04:16:48:033656;-03:00;41.8;42;43.72;44.05;5;2018-11-28;04:16:35:730080;-03:00;6.7599999999999998;6.7999999999999998;0.0;0.0
2018-11-28;04:17:30:122459;-03:00;401.07;400;0.0;20.33605;2018-11-28;04:17:06:526100;-03:00;42.0;42;43.72;44.05;5;2018-11-28;04:16:44:347714;-03:00;6.7599999999999998;6.7999999999999998;0.0;0.0
2018-11-28;04:17:40:052166;-03:00;400.8;400;0.0;20.32933;2018-11-28;04:17:07:308598;-03:00;42.0;42;43.8;42.04;5;2018-11-28;04:16:55:965359;-03:00;6.7709999999999999;6.7999999999999998;0.0;0.0
2018-11-28;04:17:50:124457;-03:00;401.07;400;0.0;20.32223;2018-11-28;04:17:15:075086;-03:00;42.0;42;43.68;42.04;5;2018-11-28;04:17:05:581924;-03:00;6.7649999999999997;6.7999999999999998;0.0;0.0
2018-11-28;04:18:00:054756;-03:00;401.07;400;0.0;20.31544;2018-11-28;04:17:25:166925;-03:00;42.1;42;43.42;42.04;5;2018-11-28;04:17:14:199414;-03:00;6.7619999999999996;6.7999999999999998;0.0;0.0
2018-11-28;04:18:10:132578;-03:00;401.07;400;0.0;20.30825;2018-11-28;04:17:35:246194;-03:00;42.1;42;43.26;42.04;5;2018-11-28;04:17:25:817100;-03:00;6.7629999999999999;6.7999999999999998;0.0;0.0
2018-11-28;04:18:20:063387;-03:00;401.07;400;0.0;20.30148;2018-11-28;04:17:45:400248;-03:00;42.2;42;43.21;42.04;5;2018-11-28;04:17:34:433660;-03:00;6.7709999999999999;6.7999999999999998;0.0;0.0
2018-11-28;04:18:30:007622;-03:00;400.8;400;0.0;20.29992;2018-11-28;04:17:55:549485;-03:00;42.3;42;43.16;42.04;5;2018-11-28;04:17:44:051403;-03:00;6.7679999999999998;6.7999999999999998;0.0;0.0
2018-11-28;04:18:40:261875;-03:00;398.14;400;0.0;20.30002;2018-11-28;04:18:05:669437;-03:00;42.3;42;43.15;42.04;5;2018-11-28;04:17:55:668893;-03:00;6.7720000000000002;6.7999999999999998;0.0;0.0
2018-11-28;04:18:50:066148;-03:00;400.53;400;0.0;20.30002;2018-11-28;04:18:15:007843;-03:00;42.3;42;43.14;42.04;5;2018-11-28;04:18:04:286713;-03:00;6.766;6.7999999999999998;0.0;0.0
2018-11-28;04:19:00:015372;-03:00;400.27;400;0.0;20.30011;2018-11-28;04:18:25:076330;-03:00;42.4;42;43.09;42.04;5;2018-11-28;04:18:15:903518;-03:00;6.766;6.7999999999999998;0.0;0.0
2018-11-28;04:19:10:121630;-03:00;400.53;400;0.0;20.29997;2018-11-28;04:18:44:417137;-03:00;42.4;42;43.09;41.47;5;2018-11-28;04:18:25:524957;-03:00;6.766;6.7999999999999998;0.0;0.0
2018-11-28;04:19:20:075365;-03:00;400.8;400;0.0;20.29992;2018-11-28;04:18:45:200249;-03:00;42.4;42;43.09;41.47;5;2018-11-28;04:18:34:142714;-03:00;6.7679999999999998;6.7999999999999998;0.0;0.0
2018-11-28;04:19:30:028616;-03:00;398.94;400;0.0;20.30007;2018-11-28;04:18:55:310352;-03:00;42.5;42;43.18;41.47;5;2018-11-28;04:18:45:759272;-03:00;6.7679999999999998;6.7999999999999998;0.0;0.0
2018-11-28;04:19:40:132118;-03:00;399.47;400;0.0;20.29992;2018-11-28;04:19:05:280798;-03:00;42.5;42;43.11;41.47;5;2018-11-28;04:18:54:376997;-03:00;6.7709999999999999;6.7999999999999998;0.0;0.0
2018-11-28;04:19:50:082895;-03:00;400.8;400;0.0;20.30002;2018-11-28;04:19:16:193590;-03:00;42.5;42;43.07;41.47;5;2018-11-28;04:19:05:994795;-03:00;6.7690000000000001;6.7999999999999998;0.0;0.0
2018-11-28;04:20:00:038133;-03:00;400.53;400;0.0;20.3001;2018-11-28;04:19:25:551416;-03:00;42.5;42;43.06;41.47;5;2018-11-28;04:19:15:611095;-03:00;6.7610000000000001;6.7999999999999998;0.0;0.0
2018-11-28;04:20:10:138723;-03:00;400.8;400;0.0;20.29996;2018-11-28;04:19:37:094394;-03:00;42.6;42;43.03;41.47;5;2018-11-28;04:19:24:228897;-03:00;6.7679999999999998;6.7999999999999998;0.0;0.0
2018-11-28;04:20:20:095951;-03:00;400.53;400;0.0;20.30001;2018-11-28;04:19:45:702552;-03:00;42.6;42;43.04;41.47;5;2018-11-28;04:19:35:846634;-03:00;6.7670000000000003;6.7999999999999998;0.0;0.0
2018-11-28;04:20:30:046857;-03:00;398.41;400;0.0;20.30009;2018-11-28;04:19:56:598568;-03:00;42.6;42;42.99;41.47;5;2018-11-28;04:19:44:467189;-03:00;6.7679999999999998;6.7999999999999998;0.0;0.0
2018-11-28;04:20:40:001008;-03:00;398.94;400;0.0;20.30008;2018-11-28;04:20:15:107206;-03:00;42.6;42;42.99;41.47;5;2018-11-28;04:19:54:085183;-03:00;6.7619999999999996;6.7999999999999998;0.0;0.0
2018-11-28;04:20:50:104953;-03:00;399.2;400;0.0;20.30006;2018-11-28;04:20:15:893288;-03:00;42.6;42;43.01;41.92;5;2018-11-28;04:20:05:701702;-03:00;6.7690000000000001;6.7999999999999998;0.0;0.0
2018-11-28;04:21:00:058447;-03:00;401.07;400;0.0;20.30002;2018-11-28;04:20:25:177332;-03:00;42.6;42;43.22;41.92;5;2018-11-28;04:20:14:320023;-03:00;6.7670000000000003;6.7999999999999998;0.0;0.0
2018-11-28;04:21:10:007916;-03:00;400.27;400;0.0;20.30014;2018-11-28;04:20:35:303609;-03:00;42.7;42;43.15;41.92;5;2018-11-28;04:20:25:937288;-03:00;6.7640000000000002;6.7999999999999998;0.0;0.0
2018-11-28;04:21:20:111119;-03:00;400.53;400;0.002;20.29999;2018-11-28;04:20:46:886534;-03:00;42.7;42;43.09;41.92;5;2018-11-28;04:20:35:554105;-03:00;6.7629999999999999;6.7999999999999998;0.0;0.0
2018-11-28;04:21:30:064376;-03:00;400.53;400;0.002;20.30002;2018-11-28;04:20:55:419187;-03:00;42.7;42;43.03;41.92;5;2018-11-28;04:20:44:171923;-03:00;6.7599999999999998;6.7999999999999998;0.0;0.0
2018-11-28;04:21:40:019658;-03:00;398.94;400;0.002;20.30007;2018-11-28;04:21:05:507876;-03:00;42.7;42;43.0;41.92;5;2018-11-28;04:20:55:792129;-03:00;6.7590000000000003;6.7999999999999998;0.0;0.0
2018-11-28;04:21:50:128237;-03:00;400.27;400;0.002;20.30004;2018-11-28;04:21:16:328328;-03:00;42.7;42;42.99;41.92;5;2018-11-28;04:21:04:409928;-03:00;6.7549999999999999;6.7999999999999998;0.0;0.0
2018-11-28;04:22:00:077216;-03:00;401.07;400;0.002;20.29995;2018-11-28;04:21:25:608111;-03:00;42.7;42;42.97;41.92;5;2018-11-28;04:21:14:027492;-03:00;6.758;6.7999999999999998;0.0;0.0
2018-11-28;04:22:10:029445;-03:00;399.2;400;0.002;20.30001;2018-11-28;04:21:45:833110;-03:00;42.7;42;42.96;41.92;5;2018-11-28;04:21:25:645403;-03:00;6.758;6.7999999999999998;0.0;0.0
2018-11-28;04:22:20:128830;-03:00;399.2;400;0.002;20.30005;2018-11-28;04:21:46:615688;-03:00;42.7;42;42.97;42.86;5;2018-11-28;04:21:34:261843;-03:00;6.758;6.7999999999999998;0.0;0.0
2018-11-28;04:22:30:085842;-03:00;400.27;400;0.002;20.30014;2018-11-28;04:21:55:197530;-03:00;42.8;42;43.17;42.86;5;2018-11-28;04:21:45:879374;-03:00;6.758;6.7999999999999998;0.0;0.0
2018-11-28;04:22:40:036587;-03:00;399.47;400;0.002;20.29996;2018-11-28;04:22:05:759957;-03:00;42.8;42;43.07;42.86;5;2018-11-28;04:21:55:500814;-03:00;6.7549999999999999;6.7999999999999998;0.0;0.0
2018-11-28;04:22:50:139031;-03:00;400.53;400;0.002;20.29995;2018-11-28;04:22:15:392899;-03:00;42.8;42;43.03;42.86;5;2018-11-28;04:22:04:116938;-03:00;6.758;6.7999999999999998;0.00013;0.0
2018-11-28;04:23:00:094018;-03:00;400.0;400;0.002;20.30007;2018-11-28;04:22:25:464923;-03:00;42.8;42;43.0;42.86;5;2018-11-28;04:22:15:734474;-03:00;6.758;6.7999999999999998;0.00013;0.0
2018-11-28;04:23:10:044139;-03:00;398.94;400;0.002;20.30007;2018-11-28;04:22:35:619683;-03:00;42.8;42;42.99;42.86;5;2018-11-28;04:22:24:355146;-03:00;6.7610000000000001;6.7999999999999998;0.00013;0.0
2018-11-28;04:23:20:150020;-03:00;399.2;400;0.002;20.29995;2018-11-28;04:22:46:472884;-03:00;42.8;42;42.98;42.86;5;2018-11-28;04:22:35:972576;-03:00;6.7610000000000001;6.7999999999999998;0.00013;0.0
2018-11-28;04:23:30:110532;-03:00;400.0;400;0.002;20.30016;2018-11-28;04:22:55:037817;-03:00;42.8;42;42.98;42.86;5;2018-11-28;04:22:45:590369;-03:00;6.7519999999999998;6.7999999999999998;0.00013;0.0
2018-11-28;04:23:40:053162;-03:00;400.53;400;0.002;20.30004;2018-11-28;04:23:16:876441;-03:00;42.8;42;42.99;42.86;5;2018-11-28;04:22:54:210309;-03:00;6.7560000000000002;6.7999999999999998;0.00027;0.0
2018-11-28;04:23:50:007572;-03:00;400.53;400;0.002;20.29997;2018-11-28;04:23:19:832964;-03:00;42.8;42;43.07;41.75;5;2018-11-28;04:23:05:827194;-03:00;6.758;6.7999999999999998;0.00027;0.0
2018-11-28;04:24:00:112444;-03:00;400.53;400;0.002;20.30005;2018-11-28;04:23:25:276099;-03:00;42.8;42;43.07;41.75;5;2018-11-28;04:23:14:444943;-03:00;6.7530000000000001;6.7999999999999998;0.00027;0.0
2018-11-28;04:24:10:062262;-03:00;399.47;400;0.002;20.29996;2018-11-28;04:23:35:430065;-03:00;42.8;42;43.02;41.75;5;2018-11-28;04:23:24:062654;-03:00;6.7530000000000001;6.7999999999999998;0.00027;0.0
2018-11-28;04:24:20:016965;-03:00;400.8;400;0.002;20.29994;2018-11-28;04:23:45:559718;-03:00;42.8;42;42.97;41.75;5;2018-11-28;04:23:35:680175;-03:00;6.7599999999999998;6.7999999999999998;0.00027;0.0
2018-11-28;04:24:30:118887;-03:00;398.94;400;0.002;20.29997;2018-11-28;04:23:55:688442;-03:00;42.8;42;42.96;41.75;5;2018-11-28;04:23:44:296831;-03:00;6.7640000000000002;6.7999999999999998;0.00027;0.0
2018-11-28;04:24:40:069153;-03:00;400.8;400;0.002;20.30001;2018-11-28;04:24:05:055794;-03:00;42.8;42;42.94;41.75;5;2018-11-28;04:23:55:918216;-03:00;6.766;6.7999999999999998;0.00027;0.0
2018-11-28;04:24:50:025987;-03:00;400.53;400;0.002;20.30005;2018-11-28;04:24:15:317658;-03:00;42.8;42;42.93;41.75;5;2018-11-28;04:24:05:534665;-03:00;6.7640000000000002;6.7999999999999998;0.00027;0.0
2018-11-28;04:25:00:127265;-03:00;400.8;400;0.002;20.3;2018-11-28;04:24:26:026112;-03:00;42.8;42;42.9;41.75;5;2018-11-28;04:24:14:152480;-03:00;6.7569999999999997;6.7999999999999998;0.00027;0.0
2018-11-28;04:25:10:080106;-03:00;399.47;400;0.002;20.29997;2018-11-28;04:24:36:858788;-03:00;42.8;42;42.89;41.75;5;2018-11-28;04:24:25:770226;-03:00;6.7629999999999999;6.7999999999999998;0.00027;0.0
2018-11-28;04:25:20:034477;-03:00;400.53;400;0.002;20.30011;2018-11-28;04:24:46:223886;-03:00;42.8;42;42.88;41.75;5;2018-11-28;04:24:34:387998;-03:00;6.7569999999999997;6.7999999999999998;0.00027;0.0
2018-11-28;04:25:30:135897;-03:00;400.27;400;0.002;20.30017;2018-11-28;04:24:56:566076;-03:00;42.8;42;42.87;41.75;5;2018-11-28;04:24:44:008174;-03:00;6.7629999999999999;6.7999999999999998;0.00027;0.0
2018-11-28;04:25:40:089546;-03:00;398.94;400;0.002;20.30007;2018-11-28;04:25:06:460107;-03:00;42.8;42;42.87;41.75;5;2018-11-28;04:24:55:625758;-03:00;6.766;6.7999999999999998;0.00027;0.0
2018-11-28;04:25:50:044043;-03:00;399.47;400;0.002;20.29992;2018-11-28;04:25:16:539552;-03:00;42.8;42;42.85;41.75;5;2018-11-28;04:25:04:243607;-03:00;6.7619999999999996;6.7999999999999998;0.00027;0.0
2018-11-28;04:26:00:146134;-03:00;399.2;400;0.002;20.29999;2018-11-28;04:25:25:751165;-03:00;42.8;42;42.84;41.75;5;2018-11-28;04:25:15:860112;-03:00;6.7629999999999999;6.7999999999999998;0.00027;0.0
2018-11-28;04:26:10:096268;-03:00;399.2;400;0.002;20.29996;2018-11-28;04:25:35:241595;-03:00;42.8;42;42.82;41.75;5;2018-11-28;04:25:24:477543;-03:00;6.7590000000000003;6.7999999999999998;0.00027;0.0
2018-11-28;04:26:20:051113;-03:00;400.8;400;0.002;20.29997;2018-11-28;04:25:45:375678;-03:00;42.8;42;42.8;41.75;5;2018-11-28;04:25:34:095535;-03:00;6.7590000000000003;6.7999999999999998;0.00027;0.0
2018-11-28;04:26:30:001242;-03:00;398.94;400;0.002;20.3;2018-11-28;04:25:56:871706;-03:00;42.8;42;42.8;41.75;5;2018-11-28;04:25:45:715630;-03:00;6.7599999999999998;6.7999999999999998;0.00027;0.0
2018-11-28;04:26:40:103565;-03:00;400.27;400;0.002;20.30007;2018-11-28;04:26:06:206414;-03:00;42.8;42;42.79;41.75;5;2018-11-28;04:25:54:333226;-03:00;6.7590000000000003;6.7999999999999998;0.00027;0.0
2018-11-28;04:26:50:067641;-03:00;399.47;400;0.002;20.29997;2018-11-28;04:26:24:718968;-03:00;42.8;42;42.79;41.75;5;2018-11-28;04:26:05:950901;-03:00;6.7599999999999998;6.7999999999999998;0.00027;0.0
2018-11-28;04:27:00:016488;-03:00;399.47;400;0.002;20.29998;2018-11-28;04:26:26:283911;-03:00;42.8;42;42.83;41.55;5;2018-11-28;04:26:15:568649;-03:00;6.7549999999999999;6.7999999999999998;0.00027;0.0
2018-11-28;04:27:10:116247;-03:00;400.53;400;0.002;20.30009;2018-11-28;04:26:37:166852;-03:00;42.8;42;42.9;41.55;5;2018-11-28;04:26:24:186152;-03:00;6.758;6.7999999999999998;0.00027;0.0
2018-11-28;04:27:20:070690;-03:00;398.94;400;0.002;20.30003;2018-11-28;04:26:47:267241;-03:00;42.8;42;42.82;41.55;5;2018-11-28;04:26:35:806242;-03:00;6.7569999999999997;6.7999999999999998;0.00027;0.0
2018-11-28;04:27:30:024332;-03:00;400.53;400;0.002;20.30001;2018-11-28;04:26:55:071771;-03:00;42.8;42;42.79;41.55;5;2018-11-28;04:26:44:424326;-03:00;6.7560000000000002;6.7999999999999998;0.00027;0.0
2018-11-28;04:27:40:127102;-03:00;400.27;400;0.002;20.30014;2018-11-28;04:27:05:206394;-03:00;42.8;42;42.79;41.55;5;2018-11-28;04:26:54:042003;-03:00;6.7549999999999999;6.7999999999999998;0.00027;0.0
2018-11-28;04:27:50:076289;-03:00;400.53;400;0.002;20.29998;2018-11-28;04:27:15:131197;-03:00;42.8;42;42.77;41.55;5;2018-11-28;04:27:05:658503;-03:00;6.7549999999999999;6.7999999999999998;0.00027;0.0
2018-11-28;04:28:00:033859;-03:00;400.27;400;0.002;20.30012;2018-11-28;04:27:26:878508;-03:00;42.8;42;42.74;41.55;5;2018-11-28;04:27:14:279100;-03:00;6.7629999999999999;6.7999999999999998;0.0004;0.0
2018-11-28;04:28:10:137560;-03:00;400.0;400;0.002;20.30007;2018-11-28;04:27:35:405997;-03:00;42.8;42;42.76;41.55;5;2018-11-28;04:27:25:895571;-03:00;6.7610000000000001;6.7999999999999998;0.0004;0.0
2018-11-28;04:28:20:084901;-03:00;399.73;400;0.002;20.29991;2018-11-28;04:27:45:411521;-03:00;42.8;42;42.73;41.55;5;2018-11-28;04:27:35:512867;-03:00;6.7590000000000003;6.7999999999999998;0.0004;0.0
2018-11-28;04:28:30:039650;-03:00;400.27;400;0.002;20.30005;2018-11-28;04:27:55:869187;-03:00;42.8;42;42.73;41.55;5;2018-11-28;04:27:44:130994;-03:00;6.7599999999999998;6.7999999999999998;0.0004;0.0
